route_id,path_id,path_type,direction,seq,sid
*531,604,main,go,0,4687
*531,604,main,go,1,3853
*531,604,main,go,2,4716
*531,604,main,go,3,4688
*531,604,main,go,4,4689
*531,604,main,go,5,4690
*531,604,main,go,6,4691
*531,604,main,go,7,4693
*531,604,main,go,8,4694
*531,604,main,go,9,4695
*531,604,main,go,10,4696
*531,604,main,go,11,4697
*531,604,main,go,12,4700
*531,604,main,go,13,4699
*531,604,main,go,14,4642
*531,604,main,go,15,4701
*531,604,main,go,16,4702
*531,604,main,go,17,4703
*531,604,main,go,18,4704
*531,604,main,go,19,4705
*531,604,main,go,20,3674
*531,604,main,go,21,3675
*531,604,main,go,22,3676
*531,604,main,go,23,3677
*531,604,main,go,24,3678
*531,604,main,go,25,4940
*531,604,main,go,26,3681
*531,604,main,go,27,4692
*531,604,main,go,28,3682
*531,604,main,go,29,3683
*531,604,main,go,30,3684
*531,604,main,go,31,4681
*531,604,main,go,32,3685
*531,604,main,go,33,3955
*531,604,main,go,34,4715
*531,604,main,go,35,3956
*531,604,main,go,36,3957
*531,604,main,go,37,3958
*531,604,main,go,38,3959
*531,604,main,go,39,3960
*531,604,main,go,40,3961
*531,604,main,go,41,2863
*531,604,main,go,42,2864
*531,604,main,go,43,2866
*531,604,main,go,44,2867
*531,604,main,go,45,387
*531,604,main,go,46,2396
*531,604,main,go,47,2397
*531,604,main,go,48,2303
*531,604,main,go,49,2304
*531,604,main,go,50,2376
*531,604,main,go,51,384
*531,604,main,go,52,2305
*531,604,main,go,53,2306
*531,604,main,go,54,2307
*531,604,main,go,55,5135
*531,604,main,go,56,2308
*531,604,main,go,57,2309
*531,604,main,go,58,2310
*531,604,main,go,59,4949
*531,604,main,go,60,2311
*531,604,main,go,61,2312
*531,604,main,go,62,2285
*531,604,main,go,63,2313
*531,604,main,go,64,2314
*531,604,main,go,65,2315
*531,604,main,go,66,2316
*531,604,main,go,67,2317
*531,604,main,go,68,5429
*531,604,main,go,69,2868
*531,604,main,go,70,2869
*531,604,main,go,71,2870
*531,604,main,go,72,2871
*531,604,main,go,73,2872
*531,604,main,go,74,2873
*531,604,main,go,75,2874
*531,604,main,go,76,2875
*531,604,main,go,77,2876
*531,604,main,go,78,2877
*531,604,main,go,79,2878
*531,604,main,go,80,2879
*531,604,main,go,81,2880
*531,604,main,go,82,1514
*531,604,main,go,83,1515
*531,604,main,go,84,1516
*531,604,main,go,85,1517
*531,604,main,go,86,1518
*531,604,main,go,87,1519
*531,604,main,go,88,1520
*531,604,main,go,89,1521
*531,604,main,go,90,3469
*531,604,main,go,91,1522
*531,604,main,go,92,1523
07,29,sub,go,0,3461
07,29,sub,go,1,3462
07,29,sub,go,2,851
07,29,sub,go,3,3463
07,29,sub,go,4,852
07,29,sub,go,5,3464
07,29,sub,go,6,3465
07,29,sub,go,7,853
07,29,sub,go,8,854
07,29,sub,go,9,5347
07,29,sub,go,10,4987
07,29,sub,go,11,4986
07,29,sub,go,12,4983
07,29,sub,go,13,4980
07,29,sub,go,14,4979
07,29,sub,go,15,4977
07,29,sub,go,16,4975
07,29,sub,go,17,4973
07,29,sub,go,18,4971
07,29,sub,go,19,4969
07,29,sub,go,20,4968
07,29,sub,go,21,4965
07,29,sub,go,22,654
07,29,sub,go,23,655
07,29,sub,go,24,4964
07,29,sub,go,25,656
07,29,sub,go,26,657
07,29,sub,go,27,2271
07,29,sub,go,28,383
07,29,sub,go,29,2272
07,29,sub,go,30,3628
07,29,sub,go,31,3629
07,29,sub,go,32,3630
07,29,sub,go,33,3631
07,29,sub,go,34,4377
07,29,sub,go,35,3632
07,29,sub,go,36,3633
07,29,sub,go,37,3634
07,29,sub,go,38,3635
07,29,sub,go,39,3636
07,29,sub,go,40,3637
07,29,sub,go,41,3638
07,29,sub,go,42,3639
07,29,sub,go,43,5438
07,29,sub,go,44,3640
07,29,sub,go,45,3641
07,29,sub,go,46,3642
07,29,sub,go,47,3643
07,29,sub,go,48,3644
07,29,sub,go,49,3645
07,29,sub,go,50,3646
07,29,sub,go,51,3647
07,29,sub,go,52,3648
07,29,sub,go,53,3649
07,29,sub,go,54,3650
07,29,sub,go,55,3651
07,29,sub,go,56,3652
07,29,sub,go,57,3653
07,29,sub,go,58,3655
07,29,sub,go,59,3656
07,29,sub,go,60,3657
07,29,sub,go,61,3658
07,29,sub,go,62,3659
07,29,sub,go,63,1953
07,29,sub,go,64,4595
07,29,sub,go,65,4168
07,29,sub,go,66,2991
07,29,sub,go,67,1545
07,29,sub,go,68,4809
07,29,sub,go,69,2043
07,29,sub,go,70,364
07,29,sub,go,71,4360
07,29,sub,go,72,3581
07,29,sub,go,73,4429
07,29,sub,go,74,1807
07,29,sub,go,75,1566
07,29,sub,go,76,1402
07,29,sub,go,77,4749
07,29,sub,go,78,4596
1,0,main,go,0,1557
1,0,main,go,1,3604
1,0,main,go,2,3605
1,0,main,go,3,1558
1,0,main,go,4,3606
1,0,main,go,5,1559
1,0,main,go,6,3596
1,0,main,go,7,3607
1,0,main,go,8,4336
1,0,main,go,9,3609
1,0,main,go,10,1560
1,0,main,go,11,3610
1,0,main,go,12,3611
1,0,main,go,13,3612
1,0,main,go,14,3613
1,0,main,go,15,3589
1,0,main,go,16,3614
1,0,main,go,17,3615
1,0,main,go,18,1906
1,0,main,go,19,3616
1,0,main,go,20,3617
1,0,main,go,21,3618
1,0,main,go,22,4750
1,0,main,go,23,3619
1,0,main,go,24,3620
1,0,main,go,25,2040
1,0,main,go,26,2043
1,0,main,go,27,1396
1,0,main,go,28,3621
1,0,main,go,29,3622
1,0,main,go,30,3623
1,0,main,go,31,1012
1,0,main,go,32,2300
1,0,main,go,33,2301
1,0,main,go,34,2373
1,0,main,go,35,2374
1,0,main,go,36,551
1,0,main,go,37,1297
1,0,main,go,38,3624
1,0,main,go,39,549
1,0,main,go,40,550
1,0,main,go,41,552
1,0,main,go,42,363
1,0,main,go,43,3578
1,0,main,go,44,3579
1,0,main,go,45,3580
1,0,main,go,46,4360
1,0,main,go,47,3581
1,0,main,go,48,4429
1,0,main,go,49,4960
1,0,main,go,50,4961
1,0,main,go,51,3582
1,0,main,go,52,4338
1,0,main,go,53,3583
1,0,main,go,54,3584
1,0,main,go,55,3585
1,0,main,go,56,3586
1,0,main,go,57,3587
1,0,main,go,58,3588
1,0,main,go,59,3590
1,0,main,go,60,3591
1,0,main,go,61,3592
1,0,main,go,62,397
1,0,main,go,63,3593
1,0,main,go,64,3594
1,0,main,go,65,3608
1,0,main,go,66,3595
1,0,main,go,67,3597
1,0,main,go,68,3598
1,0,main,go,69,2060
1,0,main,go,70,3599
1,0,main,go,71,3600
1,0,main,go,72,1585
1,0,main,go,73,3601
