stopid,name_t,name_e,lat,lon
421,ตรงข้ามซอยเลียบวารี 11,Soi Liap wari 11 (Opposite),13.852843113223,100.818097562706
422,ตรงข้ามชุมชนร่วมพัฒนาสินอนันต์,Ruam Phatthana Sin Anan Community (Opposite),13.853149386,100.82200828
423,ตรงข้ามซอยเลียบวารี 53,Soi Liap wari 53 (Opposite),13.853430210885,100.824226389679
424,โรงเรียนบ้านเจียรดับ,ฺBan Chian Dap School,13.853936246,100.83010571
425,ตรงข้ามหมู่บ้านนันทวัน10,Nanthawan 10 Village (Opposite),13.8544232653751,100.834709939672
426,ตรงข้ามชุมชนทรัพย์เจริญ,Sap Charoen Community (Opposite),13.854658846,100.83772891
427,ตรงข้ามชุมชนพิบูรณ์ทรัพย์1,Phi Bun Aap 1 Community (Opposite),13.8548493639909,100.839232174452
428,ซอยเลียบวารี 26,Soi Liap Wari 26,13.855194337,100.84331067
429,ตรงข้ามหมู่บ้านนันทวัน 5,Nanthawan Village 5 (Opposite),13.855525849,100.84702227
430,ซอยเลียบวารี 18,Soi Liap Wari 18,13.8557417535769,100.8502558401
431,ตรงข้ามชุมชนแผ่นดินทองบ้านกระทุ่มราม,Ban Krathum Ram Community (Opposite),13.855775,100.851541
432,ตรงข้ามบิ๊กซีหนองจอก,Big C Nong chok (Opposite),13.8559564497195,100.855052576763
433,ซอยเลียบวารี 6,Soi Liap Wari 6,13.856050134,100.85667532
434,โรงพยาบาลเวชการุณย์รัศมิ์,Wetchakarunrasm Hospital,13.8558376212232,100.859200881014
435,โรงเรียนสุเหร่าหะยีมินา,Hayeemina School,13.854028615,100.86945707
436,ตรงข้ามหมู่บ้านบุราพันธ์ ตรงข้ามธนันท์วัฒนะกิจ,Burapan Village (Opposite),13.852532451,100.87495622
437,ตรงข้ามซอยสันติสุข 28,Soi Santisuk 28 (Opposite),13.850716863,100.88180722
438,ตรงข้ามหมู่บ้านนันทวันเซ็นเตอร์1,Nanthawan Center Village 1 (Opposite),13.850154016,100.88404418
439,ซอยจันทร์สุข(ขาออก),Soi Chan Suk,13.8492287923605,100.888209810878
440,ตรงข้ามโรงเรียนสามแยกท่าไข่,Sam Yaek Tha Khai School (Opposite),13.848478922,100.8912165
441,โรงสีข้าว ถนนสังฆสันติสุข,Rice mill  Sangkhasanti Suk Road,13.847382075544,100.89268732979
442,สุเหร่าคู่ โรงเรียนอนุสรณ์ตระกูลกอดีรี,Surao Khu  Memorial Qadir's Family School,13.844735124,100.89699721
443,ซอยสันติสุข 73,Soi Santi Suk 73,13.838836291,100.9021211
444,ตรงข้ามเดอะไพน์กอล์ฟแอนด์ลอดจ์,The Pine Golf & Lodge (Opposite),13.83629516,100.90629909
445,ซอยศาลาแดง 10,Soi Saladaeng 10,13.835164731,100.90813148
